proxy,target,pearson_r,spearman_rho,linear_r2,best_nonlinear_r2
VAE reconstruction,CE,-0.0246,-0.0256,0.00047,0.00047
VAE reconstruction,Margin,-0.0366,-0.0413,0.00156,0.00156
VAE reconstruction,GradNorm,-0.2717,-0.3716,0.0738,0.1332
SD-VAE latent round-trip,CE,-0.0117,-0.0176,0.00014,0.0000
SD-VAE latent round-trip,Margin,-0.0064,-0.0048,0.00004,0.0000
SD-VAE latent round-trip,GradNorm,-0.0502,-0.1733,0.00252,0.0302
SD-v1.5 latent denoise,CE,0.0099,0.0105,0.00010,0.0000
SD-v1.5 latent denoise,Margin,0.0015,0.0009,0.00000,0.0000
SD-v1.5 latent denoise,GradNorm,-0.2262,-0.2321,0.0512,0.0534
Emu3 VQ reconstruction,CE,-0.0099,-0.0101,0.00010,-0.00009
Emu3 VQ reconstruction,Margin,-0.0137,-0.0241,0.00019,0.00026
Emu3 VQ reconstruction,GradNorm,-0.0582,-0.3159,0.00339,0.1031
ImageGPT token NLL,CE,0.0087,0.0080,0.00008,-0.00014
ImageGPT token NLL,Margin,-0.0014,-0.0070,0.00000,0.00060
ImageGPT token NLL,GradNorm,-0.2490,-0.2702,0.06199,0.06381
