sample_id,split
0,train
1,train
2,test
3,train
4,train
5,train
6,train
7,train
8,train
9,test
10,train
11,train
12,test
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,test
22,train
23,train
24,test
25,train
26,test
27,train
28,test
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,test
50,train
51,train
52,train
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,test
67,train
68,train
69,train
70,train
71,train
72,test
73,train
74,train
75,train
76,train
77,test
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,test
87,test
88,train
89,train
90,train
91,train
92,train
93,test
94,test
95,test
96,train
97,test
98,test
99,train
100,test
101,train
102,train
103,test
104,train
105,test
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,train
116,train
117,train
118,train
119,train
120,train
121,test
122,train
123,train
124,train
125,train
126,test
127,train
128,train
129,train
130,train
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,train
139,train
140,test
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,train
151,test
152,train
153,test
154,test
155,train
156,train
157,test
158,train
159,train
160,train
161,train
162,train
163,train
164,test
165,train
166,train
167,train
168,train
169,train
170,train
171,train
172,test
173,train
174,train
175,train
176,train
177,train
178,train
179,test
180,train
181,train
182,test
183,train
184,train
185,train
186,train
187,test
188,train
189,train
190,train
191,train
192,train
193,train
194,test
195,train
196,train
197,train
198,test
199,train
200,train
201,test
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,test
210,test
211,train
212,test
213,test
214,train
215,train
216,train
217,train
218,test
219,test
220,train
221,train
222,train
223,train
224,test
225,test
226,train
227,train
228,train
229,test
230,train
231,test
232,train
233,train
234,train
235,test
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,train
247,train
248,test
249,test
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,test
258,train
259,test
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,train
270,train
