experiment,budget,condition,seed,accuracy,paired_random_accuracy,paired_delta,dataset,learner,epochs,subset_size,class_balanced,pretrained,run_status
ordinary,0.10,hard,0,11.41,26.62,-15.21,CIFAR-100,ResNet-18,200,5000,no,no,completed
ordinary,0.10,hard,1,10.89,26.46,-15.57,CIFAR-100,ResNet-18,200,5000,no,no,completed
ordinary,0.10,hard,2,11.33,26.78,-15.45,CIFAR-100,ResNet-18,200,5000,no,no,completed
ordinary,0.10,random,0,26.62,,,CIFAR-100,ResNet-18,200,5000,no,no,completed
ordinary,0.10,random,1,26.46,,,CIFAR-100,ResNet-18,200,5000,no,no,completed
ordinary,0.10,random,2,26.78,,,CIFAR-100,ResNet-18,200,5000,no,no,completed
ordinary,0.30,hard,0,26.74,44.78,-18.04,CIFAR-100,ResNet-18,200,15000,no,no,completed
ordinary,0.30,hard,1,25.92,42.93,-17.01,CIFAR-100,ResNet-18,200,15000,no,no,completed
ordinary,0.30,hard,2,26.70,43.18,-16.48,CIFAR-100,ResNet-18,200,15000,no,no,completed
ordinary,0.30,random,0,44.78,,,CIFAR-100,ResNet-18,200,15000,no,no,completed
ordinary,0.30,random,1,42.93,,,CIFAR-100,ResNet-18,200,15000,no,no,completed
ordinary,0.30,random,2,43.18,,,CIFAR-100,ResNet-18,200,15000,no,no,completed
ordinary,0.50,hard,0,40.24,51.64,-11.40,CIFAR-100,ResNet-18,200,25000,no,no,completed
ordinary,0.50,hard,1,40.24,51.73,-11.49,CIFAR-100,ResNet-18,200,25000,no,no,completed
ordinary,0.50,hard,2,40.72,51.37,-10.65,CIFAR-100,ResNet-18,200,25000,no,no,completed
ordinary,0.50,random,0,51.64,,,CIFAR-100,ResNet-18,200,25000,no,no,completed
ordinary,0.50,random,1,51.73,,,CIFAR-100,ResNet-18,200,25000,no,no,completed
ordinary,0.50,random,2,51.37,,,CIFAR-100,ResNet-18,200,25000,no,no,completed
class_balanced,0.10,hard,0,14.67,26.13,-11.46,CIFAR-100,ResNet-18,200,5000,yes,no,completed
class_balanced,0.10,hard,1,13.22,24.19,-10.97,CIFAR-100,ResNet-18,200,5000,yes,no,completed
class_balanced,0.10,hard,2,13.77,27.21,-13.44,CIFAR-100,ResNet-18,200,5000,yes,no,completed
class_balanced,0.10,random,0,26.13,,,CIFAR-100,ResNet-18,200,5000,yes,no,completed
class_balanced,0.10,random,1,24.19,,,CIFAR-100,ResNet-18,200,5000,yes,no,completed
class_balanced,0.10,random,2,27.21,,,CIFAR-100,ResNet-18,200,5000,yes,no,completed
