seed	method	gpu	recovered_command_template	selector_file	selector_sha256	initial_state_sha256	status
0	DINOv2-Isolation-Hard	<GPU>	CUDA_VISIBLE_DEVICES=<GPU> <PYTHON> <RUNNER> --proxy-csv <SCORE_CSV> --score-col dinov2_isolation_k20 --out-dir <OUT_DIR> --seeds 0 --budgets 0.10 --methods DINOv2-Isolation-Hard --epochs 200 --eval-epochs 20 --batch-size 128 --num-workers 4 --data-root <CIFAR100_ROOT> --device cuda	selectors/ordinary10_hard_seed0.indices.npy	07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5	see provenance/initial_state_hashes_seed012.tsv	RAW_VALIDATED
0	Random	<GPU>	CUDA_VISIBLE_DEVICES=<GPU> <PYTHON> <RUNNER> --proxy-csv <SCORE_CSV> --score-col dinov2_isolation_k20 --out-dir <OUT_DIR> --seeds 0 --budgets 0.10 --methods Random --epochs 200 --eval-epochs 20 --batch-size 128 --num-workers 4 --data-root <CIFAR100_ROOT> --device cuda	selectors/ordinary10_random_seed0.indices.npy	4a314a9e1082b353cbe8bea1df2deb82e16a7d95a5b7761650a8638266bf8570	see provenance/initial_state_hashes_seed012.tsv	RAW_VALIDATED
1	DINOv2-Isolation-Hard	<GPU>	CUDA_VISIBLE_DEVICES=<GPU> <PYTHON> <RUNNER> --proxy-csv <SCORE_CSV> --score-col dinov2_isolation_k20 --out-dir <OUT_DIR> --seeds 1 --budgets 0.10 --methods DINOv2-Isolation-Hard --epochs 200 --eval-epochs 20 --batch-size 128 --num-workers 4 --data-root <CIFAR100_ROOT> --device cuda	selectors/ordinary10_hard_seed1.indices.npy	07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5	see provenance/initial_state_hashes_seed012.tsv	RAW_VALIDATED
1	Random	<GPU>	CUDA_VISIBLE_DEVICES=<GPU> <PYTHON> <RUNNER> --proxy-csv <SCORE_CSV> --score-col dinov2_isolation_k20 --out-dir <OUT_DIR> --seeds 1 --budgets 0.10 --methods Random --epochs 200 --eval-epochs 20 --batch-size 128 --num-workers 4 --data-root <CIFAR100_ROOT> --device cuda	selectors/ordinary10_random_seed1.indices.npy	b9681128946a2425232268fcd848d2c97c4bcff8e916d65b633c3de722b83ed3	see provenance/initial_state_hashes_seed012.tsv	RAW_VALIDATED
2	DINOv2-Isolation-Hard	<GPU>	CUDA_VISIBLE_DEVICES=<GPU> <PYTHON> <RUNNER> --proxy-csv <SCORE_CSV> --score-col dinov2_isolation_k20 --out-dir <OUT_DIR> --seeds 2 --budgets 0.10 --methods DINOv2-Isolation-Hard --epochs 200 --eval-epochs 20 --batch-size 128 --num-workers 4 --data-root <CIFAR100_ROOT> --device cuda	selectors/ordinary10_hard_seed2.indices.npy	07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5	see provenance/initial_state_hashes_seed012.tsv	RAW_VALIDATED
2	Random	<GPU>	CUDA_VISIBLE_DEVICES=<GPU> <PYTHON> <RUNNER> --proxy-csv <SCORE_CSV> --score-col dinov2_isolation_k20 --out-dir <OUT_DIR> --seeds 2 --budgets 0.10 --methods Random --epochs 200 --eval-epochs 20 --batch-size 128 --num-workers 4 --data-root <CIFAR100_ROOT> --device cuda	selectors/ordinary10_random_seed2.indices.npy	5ef7520610eac5b8e950373e6c05f1a3a1bd9fea7e620c6d32f7279f01dd3bc7	see provenance/initial_state_hashes_seed012.tsv	RAW_VALIDATED
3	DINOv2-Isolation-Hard	<GPU>	CUDA_VISIBLE_DEVICES=<GPU> <PYTHON> <RUNNER> --proxy-csv <SCORE_CSV> --score-col dinov2_isolation_k20 --out-dir <OUT_DIR> --seeds 3 --budgets 0.10 --methods DINOv2-Isolation-Hard --epochs 200 --eval-epochs 20 --batch-size 128 --num-workers 4 --data-root <CIFAR100_ROOT> --device cuda	selectors/ordinary10_hard_seed3.indices.npy	07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5	NOT_PERSISTED_IN_EXISTING_EXTENSION	RAW_VALIDATED
3	Random	<GPU>	CUDA_VISIBLE_DEVICES=<GPU> <PYTHON> <RUNNER> --proxy-csv <SCORE_CSV> --score-col dinov2_isolation_k20 --out-dir <OUT_DIR> --seeds 3 --budgets 0.10 --methods Random --epochs 200 --eval-epochs 20 --batch-size 128 --num-workers 4 --data-root <CIFAR100_ROOT> --device cuda	selectors/ordinary10_random_seed3.indices.npy	f10e28f5071c6aba120d48f777b753deeb66ad6cdf0e4929114cf990213dee00	NOT_PERSISTED_IN_EXISTING_EXTENSION	RAW_VALIDATED
4	DINOv2-Isolation-Hard	<GPU>	CUDA_VISIBLE_DEVICES=<GPU> <PYTHON> <RUNNER> --proxy-csv <SCORE_CSV> --score-col dinov2_isolation_k20 --out-dir <OUT_DIR> --seeds 4 --budgets 0.10 --methods DINOv2-Isolation-Hard --epochs 200 --eval-epochs 20 --batch-size 128 --num-workers 4 --data-root <CIFAR100_ROOT> --device cuda	selectors/ordinary10_hard_seed4.indices.npy	07252432ed95dd1cda15273c60f0dde7a4d7b3eeba7207a75864662dd672a6d5	NOT_PERSISTED_IN_EXISTING_EXTENSION	RAW_VALIDATED
4	Random	<GPU>	CUDA_VISIBLE_DEVICES=<GPU> <PYTHON> <RUNNER> --proxy-csv <SCORE_CSV> --score-col dinov2_isolation_k20 --out-dir <OUT_DIR> --seeds 4 --budgets 0.10 --methods Random --epochs 200 --eval-epochs 20 --batch-size 128 --num-workers 4 --data-root <CIFAR100_ROOT> --device cuda	selectors/ordinary10_random_seed4.indices.npy	2a721c00352463934c6cae5f814a98a500e3282e628ef1f830757abc1d49b2ca	NOT_PERSISTED_IN_EXISTING_EXTENSION	RAW_VALIDATED
