condition,budget,seed,hard_top1,random_top1,paired_delta_pp,source
ordinary_10,0.1,0,11.02,25.37,-14.350000000000001,CLEAN_RAW_RERUN_AND_EXISTING_RAW_EXTENSION
ordinary_10,0.1,1,10.69,24.79,-14.1,CLEAN_RAW_RERUN_AND_EXISTING_RAW_EXTENSION
ordinary_10,0.1,2,11.28,26.48,-15.200000000000001,CLEAN_RAW_RERUN_AND_EXISTING_RAW_EXTENSION
ordinary_10,0.1,3,10.19,25.47,-15.28,CLEAN_RAW_RERUN_AND_EXISTING_RAW_EXTENSION
ordinary_10,0.1,4,10.67,26.09,-15.42,CLEAN_RAW_RERUN_AND_EXISTING_RAW_EXTENSION
ordinary_30,0.3,0,26.74,44.78,-18.040000000000003,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
ordinary_30,0.3,1,25.92,42.93,-17.009999999999998,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
ordinary_30,0.3,2,26.7,43.18,-16.48,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
ordinary_30,0.3,3,26.5,43.66,-17.159999999999997,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
ordinary_30,0.3,4,26.47,44.05,-17.58,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
ordinary_50,0.5,0,40.24,51.64,-11.399999999999999,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
ordinary_50,0.5,1,40.24,51.73,-11.489999999999995,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
ordinary_50,0.5,2,40.72,51.37,-10.649999999999999,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
ordinary_50,0.5,3,40.87,51.89,-11.020000000000003,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
ordinary_50,0.5,4,40.76,51.79,-11.030000000000001,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
class_balanced_10,0.1,0,14.67,26.13,-11.459999999999999,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
class_balanced_10,0.1,1,13.22,24.19,-10.97,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
class_balanced_10,0.1,2,13.77,27.21,-13.440000000000001,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
class_balanced_10,0.1,3,15.2,25.49,-10.29,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
class_balanced_10,0.1,4,13.67,24.51,-10.840000000000002,PREVIOUSLY_VERIFIED_FIVE_SEED_TABLE
