phase,policy,seed,status,epochs_completed,best_epoch,best_top1,best_top5,final_epoch,final_top1,final_top5,optimizer_steps,run_dir,selection_sha256,checkpoint_policy,notes
phase_e,proxy_hard,0,COMPLETE,90,70,53.812,76.982,90,53.598,76.774,135180,runs/retry_20260727/proxy_hard/seed0,4cf0966b0a39c652e8f6e164e94f45932f4f242bccda1ef9ee5348d9daebae54,best_validation_top1_and_final_epoch_90,raw metrics and checkpoints validated
phase_e,proxy_hard,1,COMPLETE,90,79,53.23,76.482,90,52.732,76.298,135180,runs/retry_20260727/proxy_hard/seed1,4cf0966b0a39c652e8f6e164e94f45932f4f242bccda1ef9ee5348d9daebae54,best_validation_top1_and_final_epoch_90,raw metrics and checkpoints validated
phase_e,proxy_hard,2,COMPLETE,90,66,53.648,76.742,90,53.532,76.622,135180,runs/retry_20260727/proxy_hard/seed2,4cf0966b0a39c652e8f6e164e94f45932f4f242bccda1ef9ee5348d9daebae54,best_validation_top1_and_final_epoch_90,raw metrics and checkpoints validated
phase_e,proxy_hard,3,COMPLETE,90,86,53.698,76.838,90,53.654,76.762,135180,runs/retry_20260727/proxy_hard/seed3,4cf0966b0a39c652e8f6e164e94f45932f4f242bccda1ef9ee5348d9daebae54,best_validation_top1_and_final_epoch_90,raw metrics and checkpoints validated
phase_e,proxy_hard,4,COMPLETE,90,75,53.844,76.956,90,53.738,76.668,135180,runs/retry_20260727/proxy_hard/seed4,4cf0966b0a39c652e8f6e164e94f45932f4f242bccda1ef9ee5348d9daebae54,best_validation_top1_and_final_epoch_90,raw metrics and checkpoints validated
phase_e,random,0,COMPLETE,90,82,61.272,83.538,90,61.164,83.44,135180,runs/retry_20260727/random/seed0,a3f9dcd0d2df8013b7cf49654fe31cbfb8df4b51c17c21bc9a895518162e015c,best_validation_top1_and_final_epoch_90,raw metrics and checkpoints validated
phase_e,random,1,COMPLETE,90,87,61.482,83.464,90,61.35,83.436,135180,runs/retry_20260727/random/seed1,76d9a50a87d21af42037cd71e172c5d26364651cc77dea2a2fe18c409b1ca4ac,best_validation_top1_and_final_epoch_90,raw metrics and checkpoints validated
phase_e,random,2,COMPLETE,90,88,61.346,83.52,90,61.306,83.59,135180,runs/retry_20260727/random/seed2,8ff92b34e075a73f156bacb84708ac5e07fb6b070e41f08b3219b7020828ef24,best_validation_top1_and_final_epoch_90,raw metrics and checkpoints validated
phase_e,random,3,COMPLETE,90,72,61.612,83.55,90,61.578,83.342,135180,runs/retry_20260727/random/seed3,60f7c349770f3d30905d23965207604a038c754842cc30e12a6ec31596722939,best_validation_top1_and_final_epoch_90,raw metrics and checkpoints validated
phase_e,random,4,COMPLETE,90,86,61.346,83.378,90,61.124,83.412,135180,runs/retry_20260727/random/seed4,a5745aee383acbba354b65fb8e537e704f06516d944638323a0f175bd178356e,best_validation_top1_and_final_epoch_90,raw metrics and checkpoints validated
